# Luminosity Distances for Increasing Redshifts
# Redshift, Luminosity Distance
0.0441,41.1955120793
0.0442,41.2014323392
0.0443,41.2073403136
0.0444,41.2132360545
0.0445,41.2191196134
0.0446,41.2249910418
0.0447,41.2308503904
0.0448,41.23669771
0.0449,41.2425330508
0.045,41.2483564629
0.0451,41.2541679957
0.0452,41.2599676987
0.0453,41.2657556209
0.0454,41.2715318109
0.0455,41.2772963171
0.0456,41.2830491875
0.0457,41.28879047
0.0458,41.294520212
0.0459,41.3002384605
0.046,41.3059452625
0.0461,41.3116406646
0.0462,41.3173247129
0.0463,41.3229974534
0.0464,41.3286589318
0.0465,41.3343091936
0.0466,41.3399482837
0.0467,41.3455762471
0.0468,41.3511931282
0.0469,41.3567989713
0.047,41.3623938205
0.0471,41.3679777194
0.0472,41.3735507115
0.0473,41.37911284
0.0474,41.3846641478
0.0475,41.3902046775
0.0476,41.3957344715
0.0477,41.401253572
0.0478,41.4067620208
0.0479,41.4122598595
0.048,41.4177471296
0.0481,41.4232238721
0.0482,41.4286901279
0.0483,41.4341459376
0.0484,41.4395913417
0.0485,41.4450263801
0.0486,41.4504510929
0.0487,41.4558655196
0.0488,41.4612696998
0.0489,41.4666636725
0.049,41.4720474767
0.0491,41.4774211512
0.0492,41.4827847345
0.0493,41.4881382647
0.0494,41.49348178
0.0495,41.4988153181
0.0496,41.5041389167
0.0497,41.5094526131
0.0498,41.5147564444
0.0499,41.5200504477
