#OK
#SQL= select * from centralsClustersone
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2012-06-15 16:43:01.934 CEST
#QUERYTIME 2 millisec
#COLUMN 1 name=HaloId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=firstHaloInFOFgroupId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 3 name=m_Crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=subHaloID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=velDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 7 name=r_mean200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=mMean200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=r_crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=r_tophat200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=m_tophat200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=type JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 13 name=r_mag JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=galaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 15 name=halo_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=halo_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=halo_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=halo_vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=halo_vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=halo_vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=ra JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=dec JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=z_app JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=z_geo JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=SDSS_r JDBC_TYPE=7 JDBC_TYPENAME=real
#HaloId,firstHaloInFOFgroupId,m_Crit200,subHaloID,velDisp,fofID,r_mean200,mMean200,r_crit200,r_tophat200,m_tophat200,type,r_mag,galaxyID,halo_x,halo_y,halo_z,halo_vx,halo_vy,halo_vz,ra,dec,z_app,z_geo,SDSS_r
439000176000002,439000176000002,8684.112,61044000000649,452.47278,61044000000006,1.2643218,11748.309,0.7420454,1.0012397,10399.401,0,-23.156776,439000176000002,16.499102,427.55527,440.15036,-618.45636,302.00888,184.88818,-77.169876,-38.851986,0.030692935,0.032249093,12.538969
508000123000002,508000123000002,22738.033,61050800000000,618.1084,61050800000000,1.7849766,33061.094,1.0227582,1.4092221,28995.87,0,-23.469118,508000123000002,92.38259,4.6995773,475.69116,-498.0295,-378.34442,-271.43237,2.9121723,-14.723977,0.030846834,0.032328725,12.21484
508000129000002,508000129000002,8409.5625,61050800000804,423.61627,61050800000006,1.3076528,12998.929,0.7341362,1.0094672,10658.114,0,-23.577774,508000129000002,91.41803,7.6120048,472.71198,-392.5311,-479.50415,388.07333,4.7598047,-16.566046,0.030548334,0.03235054,12.101545
439000173015972,439000173015972,8976.306,61044000000407,449.58984,61044000000003,1.2880125,12421.17,0.7502748,1.0188129,10956.849,0,-23.543861,439000173038664,44.3238,416.8649,480.93408,86.51018,125.3589,65.36404,-61.93552,-11.44049,0.03221011,0.03249061,12.153381
78000150002122,78000150002122,10673.435,61007600000369,489.90137,61007600000002,1.4828054,18951.92,0.7948548,1.1322521,15039.115,0,-22.980528,78000150004213,3.6445026,434.74792,70.5215,451.5648,359.61798,-447.16714,-86.8032,47.178074,0.030589223,0.032499075,12.748396
437000092000002,437000092000002,8358.612,61043800001826,436.68262,61043800000005,1.4351143,17181.463,0.7326557,1.0049902,10516.795,0,-23.589006,437000092000002,93.2121,480.27438,486.978,-184.10258,232.01495,-144.37567,-11.948691,-7.7827377,0.031793237,0.032503963,12.09882
77000103000002,77000103000002,7481.0005,61007400000503,445.15012,61007400000006,1.1636463,9159.453,0.7060597,0.93391395,8439.428,0,-23.218073,77000103000002,68.53526,494.35413,67.312,-697.8728,32.331562,36.30177,-4.7093415,44.387226,0.030896425,0.032526255,12.502823
200000073000002,200000073000002,16073.539,61019900000813,528.8029,61019900000004,1.6374265,25520.365,0.9110848,1.2731031,21379.229,0,-24.00961,200000073000002,471.04837,77.570946,49.984814,563.43744,331.1398,-446.3438,110.46697,31.119322,0.032230496,0.032690883,11.702759
330000077000002,330000077000002,18127.152,61033200000133,663.8188,61033200000001,1.5909405,23408.916,0.94834226,1.2641209,20929.795,0,-23.352999,330000077000002,424.17902,449.99313,465.71933,495.73367,-116.20761,45.918232,-146.59361,-20.677961,0.03163159,0.032814264,12.36764
183000117033807,183000117033807,8300.604,61018100000443,434.21512,61018100000002,1.2990252,12742.539,0.7309528,1.0005053,10376.594,0,-23.122982,183000117080964,489.17035,417.77142,51.521137,450.9947,641.492,-322.94046,-97.50278,31.848377,0.03038323,0.033002496,12.585419
